speaker	phone	vowel	duration	ceiling	variance	F1	F2	F3	F1Bk	F2Bk	F3Bk	start	word	filename	status
PSX	aˤ	a	0.296	5830	0.171	859	1821	2542	7.64	12.28	14.51	264.416	aˤpːˤáˤsi	archi-phon-2006-PSX-2-stops	Auto
PSX	áˤ	a	0.191	4970	0.044	841	1743	2480	7.53	11.99	14.34	264.923	aˤpːˤáˤsi	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	0.113	5980	0.052	354	2636	2942	3.64	14.76	15.50	265.296	aˤpːˤáˤsi	archi-phon-2006-PSX-2-stops	Auto
PSX	aˤ	a	0.287	4710	0.209	888	1731	2412	7.83	11.94	14.16	265.409	aˤpːˤáˤsi	archi-phon-2006-PSX-2-stops	Auto
PSX	áˤ	a	0.139	5050	0.067	792	1828	2663	7.20	12.30	14.83	265.935	aˤpːˤáˤsi	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	0.107	7080	0.020	368	2797	3672	3.77	15.16	17.03	266.220	aˤpːˤáˤsi	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.193	6350	0.041	777	1730	2933	7.09	11.94	15.48	269.160	dábᵊ	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.171	5970	0.011	777	1669	2907	7.09	11.70	15.42	270.326	dáb	archi-phon-2006-PSX-2-stops	Auto
PSX	ó	o	0.386	5430	0.168	596	1386	3059	5.75	10.51	15.77	273.140	nødó	archi-phon-2006-PSX-2-stops	Auto
PSX	ó	o	0.278	4890	0.270	543	1242	2796	5.32	9.82	15.16	274.328	nødó	archi-phon-2006-PSX-2-stops	Auto
PSX	a	a	0.148	6350	0.304	769	1693	2964	7.03	11.80	15.55	280.326	abbːádlʲàw	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.185	5550	0.070	706	1837	3012	6.58	12.33	15.67	280.749	abbːádlʲàw	archi-phon-2006-PSX-2-stops	Auto
PSX	à	a	0.187	5730	0.150	800	1798	3021	7.25	12.19	15.69	281.118	abbːádlʲàw	archi-phon-2006-PSX-2-stops	Auto
PSX	a	a	0.085	5290	0.048	780	1746	3077	7.11	12.00	15.81	281.526	abbːádlʲàw	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.107	6110	0.074	555	1801	2819	5.42	12.21	15.21	281.811	abbːádlʲàw	archi-phon-2006-PSX-2-stops	Auto
PSX	à	a	0.073	5370	0.094	643	1919	2831	6.11	12.62	15.24	282.087	abbːádlʲàw	archi-phon-2006-PSX-2-stops	Auto
PSX	ú	u	0.256	4930	2.179	424	1267	2526	4.29	9.95	14.47	284.786	úʃʲtu	archi-phon-2006-PSX-2-stops	Auto
PSX	u	u	0.288	5850	0.335	434	1160	3035	4.38	9.40	15.72	285.398	úʃʲtu	archi-phon-2006-PSX-2-stops	Auto
PSX	ú	u	0.184	5510	0.360	417	925	3170	4.23	8.06	16.02	285.926	úʃtu	archi-phon-2006-PSX-2-stops	Auto
PSX	u	u	0.165	5590	1.035	410	1747	3268	4.16	12.00	16.22	286.421	úʃtu	archi-phon-2006-PSX-2-stops	Auto
PSX	ó	o	0.175	4850	0.172	516	1253	2955	5.09	9.88	15.54	294.729	tʰór	archi-phon-2006-PSX-2-stops	Auto
PSX	ó	o	0.105	5970	0.032	510	1171	3019	5.05	9.46	15.68	295.671	tʰór	archi-phon-2006-PSX-2-stops	Auto
PSX	ə	ə	0.061	5430	0.163	537	1647	2750	5.27	11.62	15.04	298.308	mətʰólʲ	archi-phon-2006-PSX-2-stops	Auto
PSX	ó	o	0.160	6050	0.112	538	1225	2856	5.28	9.73	15.30	298.492	mətʰólʲ	archi-phon-2006-PSX-2-stops	Auto
PSX	ə	ə	0.074	5410	0.159	432	1621	2728	4.36	11.51	14.99	299.320	mətʰólʲ	archi-phon-2006-PSX-2-stops	Auto
PSX	ó	o	0.094	5390	0.026	486	1294	2705	4.83	10.08	14.93	299.513	mətʰólʲ	archi-phon-2006-PSX-2-stops	Auto
PSX	ú	u	0.192	5230	0.590	438	1614	2998	4.42	11.49	15.63	303.115	ʧútʰ	archi-phon-2006-PSX-2-stops	Auto
PSX	ú	u	0.132	4850	0.086	386	1786	2819	3.95	12.15	15.21	304.063	ʧútʰ	archi-phon-2006-PSX-2-stops	Auto
PSX	é	e	0.173	6850	0.128	635	2192	2661	6.06	13.51	14.82	306.593	χˤértʰ	archi-phon-2006-PSX-2-stops	Auto
PSX	ɪ́	ɪ	0.136	6280	0.221	492	2213	2769	4.89	13.58	15.09	307.716	χˤɪ́rtʰ	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.192	6350	0.144	907	1764	2939	7.95	12.07	15.50	316.558	tʰʷás	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.182	5490	0.318	803	1684	3091	7.27	11.76	15.84	317.690	tʰʷás	archi-phon-2006-PSX-2-stops	Auto
PSX	é	e	0.208	6850	0.173	556	2443	3216	5.43	14.24	16.11	326.583	tʼém	archi-phon-2006-PSX-2-stops	Auto
PSX	é	e	0.118	6430	0.138	448	2449	3162	4.50	14.26	16.00	327.418	tʼém	archi-phon-2006-PSX-2-stops	Auto
PSX	oˤ	o	0.137	5550	0.102	622	1347	2509	5.95	10.33	14.42	330.290	qʼˤoˤtʼólʲ	archi-phon-2006-PSX-2-stops	Auto
PSX	ó	o	0.213	6050	0.344	589	1302	2913	5.69	10.12	15.44	330.533	qʼˤoˤtʼólʲ	archi-phon-2006-PSX-2-stops	Auto
PSX	oˤ	o	0.115	4850	0.591	569	1330	2550	5.54	10.25	14.53	331.498	qʼˤoˤtʼólʲ	archi-phon-2006-PSX-2-stops	Auto
PSX	ó	o	0.116	5150	0.090	522	1276	2739	5.14	9.99	15.02	331.710	qʼˤoˤtʼólʲ	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.188	6350	0.273	722	1821	3127	6.70	12.28	15.92	336.397	tʼántʼᵊ	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.172	6290	0.641	849	1828	3465	7.58	12.30	16.63	337.566	tʼántʼ	archi-phon-2006-PSX-2-stops	Auto
PSX	éˤ	e	0.469	5350	0.164	638	2193	2676	6.08	13.51	14.86	341.287	tʼéˤ	archi-phon-2006-PSX-2-stops	Auto
PSX	éˤ	e	0.423	5270	0.375	496	2284	2736	4.92	13.79	15.01	342.593	tʼéˤ	archi-phon-2006-PSX-2-stops	Auto
PSX	e	e	0.314	6470	0.220	541	2407	3360	5.31	14.14	16.42	345.432	qʼetːí	archi-phon-2006-PSX-2-stops	Auto
PSX	í	i	0.419	5900	0.132	422	2616	3481	4.27	14.71	16.66	345.837	qʼetːí	archi-phon-2006-PSX-2-stops	Auto
PSX	ə	ə	0.275	6330	0.321	633	1770	3286	6.04	12.09	16.26	346.821	qʼətːí	archi-phon-2006-PSX-2-stops	Auto
PSX	í	i	0.280	6400	0.154	392	2775	3355	4.00	15.11	16.40	347.236	qʼətːí	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.507	5230	0.205	849	1895	3066	7.58	12.54	15.79	354.676	átːas	archi-phon-2006-PSX-2-stops	Auto
PSX	a	a	0.074	6350	0.055	669	1931	3044	6.31	12.66	15.74	355.335	átːas	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.237	6330	0.323	811	1830	3397	7.32	12.31	16.49	355.816	átːəs	archi-phon-2006-PSX-2-stops	Auto
PSX	ə	ə	0.044	5270	0.062	446	1907	3007	4.49	12.58	15.65	356.185	átːəs	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.252	5390	0.022	861	1746	3033	7.65	12.00	15.71	371.734	áptːu	archi-phon-2006-PSX-2-stops	Auto
PSX	u	u	0.246	5210	0.787	418	1355	3044	4.24	10.37	15.74	372.260	áptːu	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.250	5210	0.538	863	1826	3120	7.67	12.30	15.91	372.793	áptːu	archi-phon-2006-PSX-2-stops	Auto
PSX	u	u	0.380	5150	5.575	908	2143	3205	7.95	13.36	16.09	373.326	áptːu	archi-phon-2006-PSX-2-stops	Auto
PSX	ó	o	0.215	5150	0.850	546	1187	2962	5.35	9.54	15.55	375.932	gón	archi-phon-2006-PSX-2-stops	Auto
PSX	ó	o	0.157	5910	0.567	399	1020	3046	4.06	8.63	15.74	377.255	gón	archi-phon-2006-PSX-2-stops	Auto
PSX	ɵ	ɵ	0.123	5630	0.186	457	1426	2760	4.58	10.69	15.07	386.897	dɵgó	archi-phon-2006-PSX-2-stops	Auto
PSX	ó	o	0.346	5210	0.116	535	1242	3037	5.25	9.82	15.72	387.101	dɵgó	archi-phon-2006-PSX-2-stops	Auto
PSX	ə	ə	0.079	5690	0.106	443	1550	2582	4.46	11.22	14.62	387.846	dəgó	archi-phon-2006-PSX-2-stops	Auto
PSX	ó	o	0.157	5750	0.079	493	1134	2823	4.90	9.26	15.22	388.019	dəgó	archi-phon-2006-PSX-2-stops	Auto
PSX	ã́ˤʲ	a	0.315	5370	0.422	536	1876	2519	5.26	12.47	14.45	393.069	gã́ˤʲʒi	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	0.205	7060	0.886	396	2664	3730	4.04	14.83	17.13	393.513	gã́ˤʲʒi	archi-phon-2006-PSX-2-stops	Auto
PSX	ã́ˤʲ	a	0.320	5830	1.625	502	1963	2623	4.98	12.77	14.72	394.174	gã́ˤʲʒi	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	0.073	5900	0.067	368	2510	3302	3.78	14.43	16.30	394.574	gã́ˤʲʒi	archi-phon-2006-PSX-2-stops	Auto
PSX	ɐˤ	ɐ	0.234	5070	2.106	829	1921	2578	7.45	12.63	14.61	407.070	ɐˤŋˤgáˤβos	archi-phon-2006-PSX-2-stops	Auto
PSX	áˤ	a	0.184	5410	0.066	743	1714	2290	6.85	11.88	13.81	407.483	ɐˤŋˤgáˤβos	archi-phon-2006-PSX-2-stops	Auto
PSX	o	o	0.129	6050	0.161	509	1159	2584	5.04	9.40	14.62	407.743	ɐˤŋˤgáˤβos	archi-phon-2006-PSX-2-stops	Auto
PSX	ɐˤ	ɐ	0.197	5790	0.206	612	1700	2450	5.88	11.82	14.26	408.357	ɐˤŋˤgáˤbos	archi-phon-2006-PSX-2-stops	Auto
PSX	áˤ	a	0.160	5850	0.078	746	1687	2323	6.87	11.77	13.90	408.724	ɐˤŋˤgáˤbos	archi-phon-2006-PSX-2-stops	Auto
PSX	o	o	0.082	4870	0.327	528	1319	2486	5.19	10.20	14.36	408.974	ɐˤŋˤgáˤbos	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.224	6010	0.341	683	1730	2879	6.41	11.94	15.36	433.416	gʷáʦi	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	0.291	6200	0.210	385	2500	3488	3.94	14.40	16.67	433.855	gʷáʦi	archi-phon-2006-PSX-2-stops	Auto
