speaker	vowel	phone	time	duration	F1	F2	F3	ceiling	F1Bk	F2Bk	F3Bk	filename	status
PSX	e	eˤ	644.036	0.208	587	1843	2834	6000	5.67	12.35	15.25	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	eˤ	644.984	0.141	610	1907	2691	6000	5.86	12.58	14.89	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	à	59.967	0.111	584	2113	2937	5500	5.65	13.24	15.49	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	à	61.627	0.091	625	2079	2741	5500	5.95	13.15	15.02	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	109.389	0.090	831	1961	2903	5500	7.45	12.75	15.41	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	112.700	0.089	920	1771	2535	5500	8.03	12.09	14.41	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	114.159	0.129	884	1814	2921	5500	7.80	12.24	15.38	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	114.868	0.073	896	1773	2938	5500	7.87	12.10	15.49	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	121.631	0.232	819	1700	2609	5500	7.38	11.82	14.62	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	122.658	0.179	846	1739	2908	5500	7.54	11.97	15.42	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	138.626	0.286	832	1791	2806	5500	7.46	12.17	15.16	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	139.936	0.164	784	1857	2926	5500	7.13	12.41	15.46	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	143.818	0.168	852	1796	2821	5500	7.60	12.18	15.22	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	145.149	0.096	764	1967	2874	5500	7.00	12.78	15.34	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	áː	169.966	0.297	836	1795	2920	5500	7.49	12.18	15.45	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	áː	171.261	0.211	824	1773	2997	5500	7.41	12.10	15.63	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	175.736	0.163	830	1523	2882	5500	7.45	11.11	15.36	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	à	175.937	0.127	800	1840	2854	5500	7.24	12.34	15.29	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	177.035	0.110	699	1392	2712	5500	6.53	10.53	14.95	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	à	177.182	0.112	776	1660	2794	5500	7.08	11.66	15.15	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	178.491	0.183	747	1777	2802	5500	6.88	12.11	15.16	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	179.446	0.162	801	1935	2888	5500	7.25	12.67	15.38	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	186.379	0.151	898	1697	2829	5500	7.89	11.81	15.22	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	áː	193.661	0.226	757	1679	2989	5500	6.95	11.74	15.61	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	áː	194.427	0.180	814	1727	3000	5500	7.34	11.93	15.63	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	áː	195.871	0.224	860	1757	2675	5500	7.65	12.04	14.85	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	áː	196.651	0.224	834	1787	3177	5500	7.47	12.15	16.02	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	197.629	0.148	821	1892	2669	5500	7.39	12.53	14.83	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	áː	198.819	0.214	807	1701	2879	5500	7.29	11.83	15.36	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	áː	200.222	0.234	778	1781	2884	5500	7.10	12.13	15.37	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	áː	201.084	0.158	748	1707	2973	5500	6.89	11.85	15.58	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	224.957	0.128	790	1746	2567	5500	7.18	12.00	14.57	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	226.785	0.094	655	1716	2607	5500	6.21	11.88	14.68	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	232.531	0.075	882	1776	2696	5500	7.79	12.11	14.91	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	233.694	0.129	831	1675	2842	5500	7.43	11.72	15.27	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	318.306	0.137	841	1758	2902	5500	7.52	12.03	15.41	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	345.819	0.151	766	1769	2819	5500	7.01	12.08	15.20	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	346.664	0.135	764	1699	2901	5500	7.00	11.82	15.41	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	356.001	0.079	749	2074	3101	5500	6.90	13.14	15.86	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	357.681	0.090	722	1809	2976	5500	6.71	12.23	15.58	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	360.138	0.120	708	2024	2884	5500	6.60	12.97	15.37	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	361.787	0.095	781	1879	2828	5500	7.12	12.48	15.23	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	364.044	0.102	820	1855	2822	5500	7.38	12.40	15.13	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	365.129	0.117	684	1911	2516	5500	6.42	12.59	14.32	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	366.057	0.089	750	1538	2123	5500	6.90	11.02	13.23	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	368.087	0.042	619	1898	3263	5500	5.93	12.55	16.21	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	438.193	0.147	848	1734	3050	5500	7.57	11.95	15.74	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	439.609	0.109	834	1633	2920	5500	7.47	11.56	15.45	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	470.787	0.174	843	1809	2524	5500	7.53	12.23	14.43	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	472.638	0.149	824	1848	3007	5500	7.41	12.37	15.65	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	à	615.466	0.151	754	1618	2884	5500	6.89	11.39	15.11	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	à	616.639	0.068	666	1670	3240	5500	6.28	11.71	16.17	archi-phon-2006-PSX-1-vowels	Auto
PSX	a	á	700.446	0.242	996	1767	3145	5500	8.48	12.08	15.96	archi-phon-2006-PSX-1-vowels	Auto
